episode,total_demand,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24,cluster_25,cluster_26,cluster_27,cluster_28,cluster_29,cluster_30,cluster_31,cluster_32,cluster_33,cluster_34,cluster_35,cluster_36,cluster_37,cluster_38,cluster_39,cluster_40,cluster_41,cluster_42,cluster_43,cluster_44,cluster_45,cluster_46,cluster_47,cluster_48
441,1818,7,1,7,20,16,0,0,8,25,8,17,5,1,5,46,40,72,14,2,5,31,44,294,116,4,5,52,37,62,164,72,53,21,17,69,41,68,71,1,49,101,16,17,44,25,22,15,6,2
442,1767,10,0,10,27,16,2,0,12,24,9,22,5,0,4,47,48,75,11,0,9,41,45,271,122,3,2,43,40,65,124,81,33,20,15,80,38,74,87,0,35,86,21,13,28,29,13,15,9,3
443,1864,4,1,0,12,17,3,0,13,25,7,25,9,1,6,52,50,82,18,2,9,38,62,278,136,5,3,53,39,68,138,80,45,15,24,82,32,67,91,0,47,80,22,18,45,27,11,11,7,4
444,1841,6,1,5,14,7,5,0,18,19,10,17,7,0,6,47,52,81,16,1,10,25,52,268,125,1,10,53,48,77,137,95,48,13,26,78,40,80,82,0,45,79,19,11,40,21,16,15,10,5
445,1764,12,0,7,18,5,2,0,11,21,7,16,6,1,9,49,71,61,12,6,15,23,37,292,123,5,5,48,31,62,131,76,49,17,24,75,40,69,56,2,53,77,26,13,51,13,13,14,8,2
446,1841,11,1,7,19,10,2,0,12,19,6,22,6,1,8,57,65,67,19,1,14,26,55,294,107,2,0,42,39,82,141,83,41,16,18,79,55,68,72,0,41,91,22,13,38,26,21,12,7,3
447,1838,7,2,6,18,7,0,0,11,22,13,12,14,1,12,53,58,67,12,1,14,30,44,281,130,9,1,50,35,77,141,84,47,23,19,64,40,55,80,1,40,96,28,13,47,27,17,16,11,2
448,1804,10,1,6,18,15,1,0,16,16,8,25,6,0,10,47,49,82,6,3,13,23,60,292,100,6,5,43,40,73,121,96,31,14,25,73,33,72,77,1,46,102,22,16,43,18,14,13,9,4
449,1825,11,1,5,15,15,3,0,18,18,13,19,5,1,6,49,60,86,18,1,13,28,62,267,114,8,7,46,42,67,136,84,38,12,25,93,41,66,73,0,43,78,16,23,31,28,21,11,6,2
450,1867,9,0,3,19,11,2,0,6,18,11,21,6,3,6,39,64,74,9,1,8,34,69,297,128,5,5,53,36,62,138,83,42,15,30,79,47,74,73,1,54,93,20,13,36,30,17,14,7,2
451,1825,10,3,6,26,13,0,0,15,19,7,22,3,3,10,57,59,60,13,2,7,35,72,296,121,2,3,40,41,78,124,82,42,12,20,78,32,55,82,1,47,103,15,12,30,28,12,19,4,4
452,1781,9,0,7,30,15,2,0,8,20,10,15,14,4,6,43,58,73,11,0,10,33,53,250,107,13,4,39,43,62,134,69,39,18,17,89,42,70,79,2,49,86,26,19,39,24,17,14,6,3
453,1772,11,1,4,17,11,3,0,6,19,6,28,7,2,11,43,62,81,23,2,8,39,58,271,117,4,4,37,41,63,135,80,33,12,22,88,27,61,70,0,53,79,15,13,40,28,18,11,7,1
454,1850,12,1,5,17,10,2,0,8,19,10,20,6,3,6,46,56,69,18,2,12,28,58,298,143,5,4,39,35,78,139,73,50,16,20,79,39,82,67,2,52,78,22,16,44,25,11,14,10,1
455,1847,7,0,4,18,15,3,0,17,24,12,21,8,0,12,48,62,68,18,3,12,32,70,277,137,5,5,45,32,68,156,64,45,14,24,73,40,63,73,0,44,77,22,20,38,23,19,14,9,6
456,1854,9,2,8,18,11,2,0,15,19,8,23,13,3,6,37,58,74,22,4,9,27,66,279,126,10,6,53,43,80,128,82,47,15,18,84,51,59,77,1,44,64,20,20,42,31,20,11,6,3
457,1765,15,1,5,14,12,2,0,13,20,8,30,5,3,11,47,43,79,12,4,15,37,53,293,125,7,5,28,33,61,141,71,34,15,22,81,41,63,64,2,52,77,22,10,35,23,13,14,3,1
458,1737,9,2,7,18,14,3,0,12,14,12,12,7,1,8,38,52,64,18,4,9,36,45,267,125,4,6,51,42,63,146,59,41,11,22,62,44,48,87,2,43,84,21,18,36,23,10,21,14,2
459,1750,8,0,5,25,11,6,0,8,29,15,21,13,4,7,42,59,68,17,4,13,35,56,275,117,2,2,30,30,62,134,77,36,14,31,85,36,56,71,0,40,77,20,12,40,26,15,10,5,1
460,1788,11,1,3,18,7,2,0,15,17,6,26,4,1,7,46,51,56,9,1,10,35,61,290,123,4,5,44,50,89,127,71,38,19,25,70,45,60,84,0,46,84,26,9,36,21,15,12,5,3
461,1874,7,1,6,15,7,3,0,11,12,11,28,6,0,8,72,58,64,14,3,9,31,61,288,106,4,3,59,45,78,139,84,44,19,28,92,27,66,74,2,40,82,35,22,44,20,14,18,10,4
462,1882,10,0,5,32,11,5,0,19,11,11,30,8,3,6,45,63,68,12,3,10,36,42,269,141,5,2,54,41,84,141,75,42,12,34,67,55,70,87,1,48,84,23,17,37,28,13,15,5,2
463,1866,8,1,5,16,8,3,0,16,17,7,19,10,1,4,43,46,71,15,2,4,52,54,292,117,5,5,49,36,87,134,105,46,16,24,86,39,70,72,0,41,92,17,18,40,29,19,14,7,4
464,1758,11,4,1,20,6,2,0,10,15,11,26,10,1,4,44,50,76,19,1,11,36,57,284,103,5,1,43,51,62,130,75,44,15,25,63,35,67,73,1,53,73,25,15,41,16,18,14,9,2
465,1838,8,3,8,24,9,4,0,16,19,8,26,9,6,6,60,42,84,16,1,12,39,48,267,106,1,3,48,42,70,131,86,50,19,22,93,50,65,81,0,46,78,23,10,46,23,17,7,4,2
466,1766,7,2,5,20,8,1,0,13,11,13,22,11,2,8,55,47,81,12,2,12,32,57,289,93,5,4,39,43,54,126,85,43,23,16,89,33,72,73,0,48,72,18,14,45,20,16,14,5,6
467,1838,9,0,5,21,8,2,0,15,16,8,21,7,0,4,53,66,73,21,3,8,37,53,279,134,3,8,43,29,66,124,84,39,13,26,79,46,80,70,0,36,94,23,14,46,30,20,14,5,3
468,1877,10,1,3,24,15,2,0,11,23,4,19,15,2,8,66,54,82,13,2,9,28,43,280,121,5,2,48,39,69,141,97,40,17,28,87,45,79,77,0,41,88,24,12,42,25,13,13,9,1
469,1823,7,1,7,13,5,3,0,13,14,10,26,8,0,7,56,55,75,13,3,10,39,51,297,130,1,8,49,44,66,136,73,43,18,20,77,40,74,62,1,37,87,25,6,42,29,19,13,7,3
470,1851,6,1,3,19,7,4,0,13,20,10,17,9,0,11,48,49,73,16,4,7,34,37,295,143,3,6,40,40,67,144,80,41,15,15,83,42,91,65,0,48,80,28,17,45,30,19,17,8,1
471,1841,8,1,3,16,9,1,0,11,15,11,27,10,4,4,45,54,71,10,2,10,34,59,287,112,3,5,56,36,79,126,103,44,13,21,86,47,66,72,4,46,77,16,11,45,36,27,14,2,2
472,1879,8,2,5,27,20,2,0,13,17,12,25,4,2,8,47,59,74,16,2,2,29,56,294,125,7,4,45,35,66,132,93,46,15,15,61,38,82,89,1,55,101,24,18,39,24,19,16,5,0
473,1834,11,0,5,15,12,2,0,18,16,9,29,18,2,10,61,51,72,7,5,11,25,56,306,125,4,10,34,37,75,122,61,50,17,26,75,44,62,84,3,43,81,12,11,43,23,20,20,8,3
474,1807,9,1,6,24,15,3,0,12,21,7,26,7,5,4,52,65,74,17,4,6,30,57,266,117,7,5,42,48,64,143,72,40,15,33,73,43,72,57,1,34,100,24,14,34,25,11,16,4,2
475,1923,12,1,13,28,14,4,0,21,15,11,23,7,2,10,53,51,83,17,1,13,37,56,285,130,6,6,51,58,75,144,96,34,15,26,88,39,62,69,4,39,76,19,12,35,37,18,19,7,1
476,1841,8,1,5,21,11,1,0,12,22,6,18,8,1,5,45,54,69,18,1,9,44,51,276,114,7,7,47,37,65,147,73,42,16,21,83,44,72,84,0,54,84,30,11,47,17,20,15,14,4
477,1816,11,2,2,30,8,3,0,11,18,7,28,14,1,7,55,60,59,13,1,6,28,57,279,117,9,3,47,44,70,137,83,44,17,18,70,39,61,85,2,54,74,29,9,39,28,14,13,7,3
478,1851,10,2,4,24,14,3,0,11,22,8,28,6,4,5,52,61,68,21,1,7,22,56,282,112,6,3,46,42,72,151,83,44,16,23,67,39,70,71,2,69,84,27,16,43,27,15,10,1,1
479,1793,17,3,6,21,10,3,0,8,21,8,24,11,4,9,56,58,65,12,3,5,31,67,265,119,3,5,36,40,65,126,76,38,17,18,96,39,66,68,1,43,98,18,13,44,18,12,16,6,5
480,1806,10,1,2,13,9,7,0,8,19,5,21,6,6,4,52,57,59,13,3,8,25,72,283,135,8,1,46,50,75,136,86,45,14,18,58,35,69,84,2,49,70,20,10,40,24,21,16,11,0
481,1750,12,0,3,19,6,6,0,16,20,7,22,5,3,6,49,61,65,9,2,7,21,52,301,120,1,2,46,41,82,112,83,42,18,22,85,43,65,78,1,40,60,13,9,30,24,22,11,4,4
482,1825,13,1,3,17,14,3,1,10,20,12,23,9,0,3,55,46,75,6,3,11,39,60,282,107,3,3,26,44,65,152,85,43,16,23,85,43,78,73,0,52,93,21,18,29,18,23,15,3,1
483,1808,12,0,9,28,11,5,0,8,16,7,13,12,0,12,39,54,79,19,3,10,24,47,302,100,7,5,57,31,72,146,72,38,18,19,75,45,62,82,1,63,66,18,12,48,27,12,10,8,4
484,1877,15,1,3,21,16,1,0,18,13,7,23,9,0,4,58,49,80,16,2,8,34,53,288,117,6,4,37,44,71,129,84,45,14,22,79,41,71,83,2,69,86,19,16,49,21,26,10,10,3
485,1710,6,0,7,16,8,5,0,12,21,10,23,4,1,7,40,51,51,16,2,8,31,54,237,101,6,5,54,40,67,140,83,30,13,14,83,23,87,80,1,58,82,21,18,39,24,14,9,6,2
486,1794,8,2,2,19,14,1,0,7,23,7,25,9,1,9,52,51,70,8,3,18,30,39,300,127,4,4,38,43,63,152,76,45,14,22,82,31,65,73,0,44,72,26,11,42,21,15,20,4,2
487,1788,6,1,5,18,16,0,0,8,15,14,21,6,1,7,44,57,73,11,0,6,33,61,282,108,8,3,45,49,81,144,74,51,25,22,64,45,56,79,2,45,76,14,16,47,17,9,14,5,4
488,1839,5,1,3,14,11,3,0,12,29,10,19,6,2,4,40,59,71,15,3,9,24,52,266,132,7,4,51,46,69,138,73,40,13,23,88,46,76,73,2,59,87,26,13,51,26,16,14,7,1
489,1805,11,0,5,21,7,3,0,15,25,6,20,8,3,8,47,70,65,16,5,9,33,55,276,125,1,3,53,35,74,133,93,43,15,27,69,37,61,71,4,38,82,22,7,43,20,19,14,6,2
490,1878,11,2,1,30,16,1,0,12,17,12,18,10,4,7,49,65,71,26,1,8,44,59,258,136,9,3,39,32,81,143,77,39,13,17,81,42,74,76,0,58,88,23,16,45,33,16,9,5,1
491,1803,8,1,5,24,6,1,0,13,22,8,25,7,3,3,52,50,82,12,2,10,25,57,295,110,2,4,45,51,60,143,86,49,16,21,72,43,71,68,0,43,91,15,13,41,20,10,10,6,2
492,1818,8,3,6,10,13,0,0,18,21,10,22,7,3,3,45,57,63,15,2,6,31,43,308,101,6,0,38,42,70,132,79,42,20,27,72,44,79,74,0,55,81,19,21,43,35,15,16,9,4
493,1921,8,0,8,16,12,3,1,8,13,3,24,10,4,8,51,62,82,16,2,6,31,48,289,119,5,2,55,40,85,148,89,36,23,24,96,56,84,81,0,53,65,20,16,51,27,18,12,8,3
494,1801,11,2,6,23,11,3,0,15,16,15,24,12,1,12,59,55,81,14,8,9,34,48,259,120,9,2,47,35,57,141,81,35,19,24,76,46,59,72,3,50,74,18,10,38,25,14,15,9,4
495,1771,8,0,3,18,13,3,0,13,18,8,19,9,0,4,39,52,84,27,1,10,32,66,282,119,4,3,53,34,62,137,67,34,11,18,68,44,56,90,2,44,90,16,17,38,13,18,10,11,3
496,1794,12,1,4,15,15,2,0,13,22,12,19,9,2,10,48,49,59,20,2,7,27,53,291,111,2,3,44,37,58,134,63,49,19,19,79,38,56,86,0,58,88,23,13,38,30,22,21,9,2
497,1852,10,1,3,9,7,5,0,16,10,6,21,9,0,10,47,49,86,16,3,8,42,53,315,107,10,5,61,44,79,130,80,42,20,23,87,35,69,77,0,49,73,19,11,30,24,20,22,5,4
498,1860,11,1,2,23,9,1,0,15,17,8,24,9,1,6,44,50,68,10,1,5,22,66,300,112,8,2,45,41,75,130,84,62,17,20,85,41,73,76,0,63,83,23,18,45,26,20,10,4,4
499,1904,17,0,5,20,5,3,1,16,25,13,21,8,2,11,64,69,83,19,2,14,33,59,293,114,7,5,43,36,82,177,71,44,19,18,74,37,66,69,0,45,75,24,10,43,19,18,16,5,4
500,1817,7,0,5,18,10,1,0,14,20,10,20,7,4,10,47,57,84,16,3,7,37,58,287,128,2,5,38,42,62,124,75,41,14,29,79,44,66,70,4,46,80,23,17,45,21,21,13,6,0
501,1831,17,0,5,22,14,0,0,16,16,9,22,9,1,7,42,63,66,21,2,10,34,45,261,127,5,6,43,38,88,146,102,39,15,38,68,28,51,71,0,48,88,26,14,35,32,20,12,6,3
502,1813,9,0,4,18,10,3,0,14,18,13,23,8,2,8,54,52,74,17,1,13,27,68,280,118,2,3,37,42,77,143,83,43,17,24,79,40,69,84,2,36,72,17,10,36,23,17,12,7,4
503,1773,6,1,5,16,15,2,0,10,14,13,22,9,3,5,35,70,58,19,1,9,21,54,300,126,4,7,31,40,75,138,69,42,10,24,88,34,53,84,0,60,70,28,9,36,24,17,8,7,1
504,1810,5,2,9,19,9,1,0,13,19,8,29,6,3,7,52,58,68,15,1,9,30,60,276,120,4,5,31,46,69,126,73,51,16,12,76,35,67,97,1,47,99,16,19,38,27,15,11,8,2
505,1742,11,0,4,14,8,5,1,10,12,8,26,5,1,7,45,59,77,9,4,18,23,47,246,124,6,6,46,43,67,131,87,40,22,30,65,39,75,54,0,43,76,25,11,40,36,16,11,7,2
506,1882,12,0,7,18,11,3,0,10,24,17,19,6,4,12,47,66,64,10,4,10,36,56,282,145,7,3,41,29,86,140,74,39,17,25,80,46,57,74,2,56,86,24,13,52,22,25,12,7,2
507,1731,7,0,5,18,11,5,0,16,11,5,16,8,0,8,40,54,66,16,2,9,28,60,288,100,4,3,48,30,69,137,71,39,19,18,69,44,58,76,2,53,69,31,15,34,30,14,17,5,3
508,1783,9,0,8,19,14,4,0,10,9,10,22,10,2,11,57,55,62,29,0,11,26,45,281,118,5,3,39,48,76,125,68,43,18,24,72,33,63,83,2,57,72,15,14,49,23,20,13,5,1
509,1854,9,0,6,13,10,2,0,9,16,8,25,8,4,11,59,48,57,9,1,10,33,54,270,134,4,4,49,46,73,139,84,48,22,22,71,53,74,73,1,58,85,25,7,50,23,19,22,5,1
510,1808,7,1,11,19,5,2,0,19,18,5,25,9,1,8,55,71,65,16,2,14,29,61,274,102,5,3,47,49,68,142,81,41,16,16,86,46,62,70,0,39,86,16,17,41,27,12,13,5,1
511,1874,8,1,4,24,6,4,0,20,26,11,25,9,0,10,46,78,72,28,2,11,20,57,298,113,4,4,40,35,67,142,86,46,19,29,75,40,73,73,0,44,90,25,11,48,25,8,8,8,1
512,1810,7,1,3,13,13,1,0,11,19,7,27,7,5,7,41,41,75,13,3,11,28,77,262,110,6,1,56,44,70,131,98,46,22,21,87,39,68,60,2,46,67,19,18,49,31,22,18,7,0
513,1820,9,1,6,17,10,4,0,17,14,7,20,12,3,8,49,47,66,12,2,9,23,47,258,111,5,2,44,41,66,159,87,56,18,25,88,48,70,76,2,55,89,15,11,38,24,20,21,5,3
514,1831,9,1,3,22,8,3,0,19,22,7,18,7,0,14,49,76,67,15,2,13,36,44,248,129,4,5,40,32,82,134,94,44,17,15,85,46,72,71,2,52,77,22,6,46,29,18,19,7,0
515,1804,13,0,2,8,16,2,0,16,11,10,15,9,2,13,53,65,70,15,0,7,38,41,305,103,3,8,37,43,50,127,91,58,16,16,75,46,62,77,0,47,94,17,21,41,23,17,11,7,3
516,1861,4,0,3,21,14,2,0,14,16,14,26,6,0,6,49,47,61,18,3,15,39,49,314,122,5,5,45,34,68,143,90,45,33,16,88,38,64,59,1,48,87,18,12,44,25,18,19,10,3
517,1800,12,1,4,11,12,2,0,13,15,6,21,10,1,10,44,47,69,17,3,8,30,49,282,135,2,6,45,51,71,126,86,50,18,20,66,43,61,66,0,50,93,30,21,46,21,12,7,3,4
518,1932,7,0,6,17,14,3,0,15,19,7,20,9,2,7,45,63,70,11,4,16,28,46,296,142,5,5,46,44,59,155,90,54,24,28,94,34,75,65,4,56,88,23,13,48,29,20,15,8,3
519,1810,14,1,6,9,9,4,0,10,15,17,20,6,3,8,51,56,82,16,3,13,22,46,266,117,4,7,45,40,63,131,79,45,16,21,83,46,57,72,0,50,100,19,13,51,26,22,13,11,2
520,1872,10,1,7,22,9,2,0,11,28,11,24,8,2,9,45,46,66,13,2,13,42,49,281,102,5,8,43,51,78,155,83,44,18,36,85,45,63,76,1,57,90,18,11,40,20,18,8,15,1
521,1840,9,0,5,13,6,2,1,15,16,11,17,14,2,8,61,63,69,20,0,15,26,55,290,123,3,4,52,45,73,150,79,40,13,25,59,40,66,68,0,51,85,21,10,40,22,21,17,10,5
522,1860,12,0,8,20,11,1,0,10,18,11,19,12,4,10,50,48,82,15,4,9,39,55,297,128,6,2,40,33,76,131,83,37,13,25,94,39,64,80,0,49,79,20,20,43,25,19,10,5,4
523,1869,10,0,5,18,12,2,0,10,22,16,25,7,1,8,54,55,77,13,2,11,27,54,311,121,6,6,50,33,71,130,79,45,15,18,79,37,77,72,2,49,79,27,15,48,22,21,13,8,6
524,1860,8,1,5,18,15,4,0,23,16,12,20,8,4,5,48,58,78,17,2,8,34,59,274,111,8,5,41,53,81,144,75,49,14,20,73,50,61,75,3,44,80,33,9,39,34,16,14,6,5
525,1847,10,1,8,16,10,7,0,12,23,11,24,8,2,8,42,46,87,17,2,7,40,55,289,113,2,2,42,38,66,125,84,49,15,20,84,33,69,77,1,57,86,31,8,46,27,20,16,8,3
526,1838,6,1,2,23,12,2,0,13,20,14,23,10,2,5,59,57,71,15,0,5,27,61,270,117,4,4,46,51,86,127,89,33,18,35,79,31,83,76,3,42,77,18,12,45,28,21,10,4,1
527,1760,9,2,6,20,7,2,0,12,13,13,19,9,1,6,57,52,69,19,3,16,38,43,264,112,8,1,43,39,65,117,66,48,17,21,76,57,63,77,2,40,86,27,11,43,19,21,13,5,3
528,1860,5,1,4,21,12,0,0,13,16,15,22,9,0,10,42,59,72,17,2,8,40,66,283,121,7,5,38,36,70,145,72,37,17,16,86,46,66,95,0,47,85,27,14,37,25,18,17,10,6
529,1859,16,1,5,22,7,4,0,10,17,9,21,9,2,7,52,46,68,15,5,8,33,67,294,115,4,4,41,46,82,140,86,38,19,21,69,41,82,81,1,49,99,21,14,32,25,14,9,7,1
530,1810,10,1,11,17,14,2,0,16,20,9,26,5,1,2,47,56,83,15,5,13,24,59,300,106,3,2,42,41,69,119,63,52,20,22,76,45,69,81,0,48,76,18,13,43,23,19,11,8,5
531,1763,6,1,7,20,11,3,0,17,21,8,23,10,1,9,50,56,71,26,1,13,36,49,274,101,4,3,40,43,53,132,89,44,12,18,69,31,73,61,0,47,73,22,12,57,23,16,17,9,1
532,1856,14,0,5,15,16,1,0,19,24,12,22,8,1,7,45,63,76,11,1,7,35,54,277,131,3,7,39,30,75,138,83,44,21,24,80,38,60,76,0,47,99,30,9,44,27,13,10,12,3
533,1785,12,0,8,14,13,1,0,5,18,4,24,5,2,5,48,54,82,12,5,10,24,43,261,108,5,5,59,31,75,131,80,49,16,30,82,38,75,63,0,44,82,23,13,52,22,24,16,9,3
534,1824,5,0,6,16,16,0,0,15,17,9,25,8,1,8,51,46,64,17,1,11,41,51,279,134,4,5,43,47,76,166,93,47,14,17,64,37,66,77,0,47,87,25,15,22,25,10,9,6,1
535,1826,8,1,3,15,9,3,0,16,21,11,28,8,1,9,46,52,62,15,1,11,20,55,283,107,4,5,47,41,63,148,77,53,30,26,67,46,60,83,2,63,86,14,14,46,26,17,15,6,2
536,1809,10,1,5,21,13,4,0,13,17,12,24,14,1,10,49,57,62,12,0,7,25,59,306,110,5,7,48,33,51,148,93,38,11,22,74,42,62,75,1,47,74,15,13,40,29,25,15,7,2
537,1828,18,0,6,22,11,1,0,15,13,12,21,6,0,12,49,57,66,11,1,10,31,63,282,131,7,3,44,44,71,126,70,46,16,24,72,35,73,76,1,50,80,26,19,47,18,26,11,3,2
538,1879,5,1,4,13,13,0,0,14,12,9,18,7,1,6,39,64,77,12,3,8,32,58,309,108,5,2,52,47,74,136,93,51,17,26,67,42,56,76,1,54,86,29,22,44,34,20,19,9,4
539,1770,7,0,3,15,14,3,0,12,20,3,25,12,3,8,45,62,70,11,4,3,40,62,274,101,6,5,50,32,70,116,73,45,21,21,71,54,79,71,1,50,80,18,11,33,24,14,20,7,1
540,1794,11,0,4,22,8,1,0,11,19,9,33,12,2,5,44,60,65,17,0,10,24,58,253,116,5,4,37,41,61,129,77,38,17,25,69,58,71,76,0,55,83,21,13,46,33,25,12,12,2
541,1811,10,1,5,16,11,0,0,17,19,5,17,13,2,8,57,64,102,13,5,6,27,43,279,120,5,3,51,32,60,123,87,39,4,27,73,46,67,58,2,44,89,18,15,50,26,18,20,9,5
542,1817,5,2,3,16,8,0,0,13,19,14,22,8,1,6,47,64,57,10,2,7,31,55,310,121,9,2,45,38,65,137,86,47,16,27,85,33,76,67,1,48,72,29,12,41,25,16,11,5,3
543,1826,12,1,5,16,13,2,0,10,21,4,18,13,1,10,52,55,68,15,4,7,38,64,273,134,6,2,42,40,88,146,80,45,15,25,89,43,59,77,1,48,71,15,13,27,22,20,9,4,3
544,1767,11,0,6,8,11,1,0,15,23,9,12,12,0,3,53,68,72,18,5,17,25,68,260,121,2,3,31,36,58,127,84,50,10,29,96,54,57,65,2,44,76,22,14,37,15,11,14,10,2
545,1773,7,1,7,17,11,4,0,14,15,10,32,8,1,7,44,50,60,15,3,8,29,59,272,117,5,6,57,31,68,110,77,41,11,25,82,44,78,77,1,44,72,15,17,44,21,22,20,10,4
546,1854,12,2,3,27,11,5,0,11,19,13,20,13,4,4,61,59,84,17,1,9,30,55,292,105,3,7,34,41,87,137,81,41,13,13,85,43,62,85,1,50,81,10,15,40,18,19,18,13,0
547,1808,8,1,4,22,12,7,0,13,14,9,28,5,2,9,63,59,59,15,1,8,27,51,316,132,5,6,39,49,71,125,81,33,18,15,85,34,65,60,4,56,68,18,14,34,30,14,11,7,1
548,1889,8,1,3,12,13,2,0,11,19,6,27,3,2,7,69,58,63,17,2,5,33,52,290,130,8,6,40,48,76,132,73,51,10,23,103,33,63,58,1,63,92,26,23,56,38,14,8,10,1
549,1786,13,1,3,28,13,2,0,12,19,8,17,6,1,6,38,58,58,12,1,16,38,60,267,118,3,4,53,34,62,160,75,44,8,19,72,36,66,76,2,50,90,17,10,46,23,19,14,6,2
550,1768,9,0,7,20,7,2,0,11,18,10,12,15,2,10,50,55,75,18,1,8,31,53,270,129,3,6,39,35,61,137,75,38,19,22,76,35,61,67,0,46,89,20,13,43,24,20,16,7,3
551,1773,13,1,2,16,12,1,0,14,12,5,24,4,4,10,47,59,73,12,2,10,31,51,281,114,0,4,45,37,74,130,82,32,16,25,73,48,52,74,3,49,79,31,13,46,19,18,15,7,3
552,1809,7,0,4,28,10,3,0,16,23,9,19,7,1,5,46,54,69,19,1,8,23,54,290,127,10,6,38,39,76,143,80,37,15,22,72,40,61,65,1,56,82,29,11,39,28,18,10,6,2
553,1788,16,0,6,20,12,1,0,13,17,1,15,14,2,5,49,51,72,19,0,11,31,51,310,113,5,5,42,38,54,135,75,51,14,20,78,39,68,89,0,39,71,27,9,40,25,21,8,5,1
554,1828,7,1,5,15,13,4,0,15,15,14,23,6,3,2,68,49,70,14,2,11,34,45,315,115,4,1,39,37,76,141,93,38,17,29,74,39,60,79,1,47,83,19,13,29,24,14,13,8,4
555,1784,11,1,5,19,14,2,0,17,18,5,22,8,4,7,48,57,78,15,1,9,28,56,281,110,6,3,44,32,70,131,70,37,14,20,74,42,57,77,0,51,83,16,17,47,32,19,12,11,3
556,1811,9,1,6,25,13,2,0,11,19,11,11,10,5,11,48,51,69,19,2,7,27,52,297,137,10,1,47,26,82,137,92,44,10,27,64,28,62,73,1,48,80,19,10,42,25,15,12,9,4
557,1843,5,0,5,25,7,1,0,17,20,7,25,9,1,7,46,62,71,18,3,15,35,55,275,113,5,9,38,38,79,143,80,47,20,25,76,46,65,60,0,54,85,32,8,42,29,15,12,9,4
558,1833,10,0,3,15,8,4,0,20,14,13,21,8,1,9,59,56,82,21,1,11,39,58,284,122,2,4,47,46,85,129,58,40,15,32,86,40,61,67,0,38,87,27,13,38,25,16,13,4,1
559,1732,15,0,4,21,8,3,0,12,16,9,25,9,1,11,44,59,68,6,1,5,31,55,254,107,5,7,31,41,66,127,91,41,7,23,72,46,63,73,0,43,94,17,17,42,26,17,9,6,4
560,1756,6,0,3,15,6,2,0,11,13,16,21,12,2,6,45,53,63,15,0,14,33,48,287,116,4,2,50,29,61,159,81,44,10,23,65,42,64,69,2,49,86,17,9,44,21,13,19,3,3
561,1817,5,0,7,22,10,3,0,12,20,5,20,9,2,9,48,49,59,16,1,13,25,53,313,113,2,3,43,41,74,132,82,30,20,24,75,50,61,78,1,59,72,25,15,48,25,13,19,9,2
562,1749,5,1,6,15,9,1,0,18,17,12,27,8,0,6,39,69,78,12,1,9,33,47,274,124,3,1,42,39,76,139,59,41,8,25,75,46,61,67,3,42,87,26,12,40,16,11,14,5,0
563,1669,9,1,7,25,17,1,0,19,14,9,17,5,2,7,49,60,70,15,3,9,26,50,233,114,8,3,43,37,63,131,59,36,22,22,62,32,61,81,1,50,79,19,13,40,19,14,9,3,0
564,1817,10,2,6,24,12,3,0,11,20,11,23,9,0,6,50,50,68,15,3,13,26,51,266,136,7,3,41,45,75,130,83,48,19,29,73,40,58,72,0,49,87,27,12,35,26,16,15,8,4
565,1800,17,0,5,16,10,2,0,15,16,7,28,12,2,7,60,37,58,22,2,10,34,49,284,117,6,5,46,43,76,138,77,57,15,18,83,37,55,78,1,41,83,18,20,38,14,18,14,7,2
566,1840,3,1,4,16,9,7,0,19,12,14,24,15,3,7,59,55,58,16,4,16,21,58,304,113,4,3,48,42,66,159,80,37,13,21,68,38,68,73,1,48,91,21,12,45,19,26,14,2,3
567,1798,7,0,2,19,8,3,0,7,21,12,34,11,0,3,47,44,64,18,7,12,23,46,280,132,3,6,50,36,67,133,72,46,18,26,88,39,65,78,0,46,73,27,11,36,28,20,17,8,5
568,1807,8,1,3,25,12,3,0,8,20,9,20,8,2,8,56,63,55,18,2,6,23,41,293,108,4,10,48,39,72,127,76,38,19,26,82,36,67,87,0,45,88,21,19,40,22,23,18,6,2
569,1899,7,1,6,15,12,3,0,10,16,5,29,7,3,6,57,72,77,19,0,6,24,65,297,133,5,5,56,44,81,131,75,38,11,21,73,41,69,89,0,40,82,28,17,58,27,13,13,9,3
570,1756,8,0,6,20,12,4,0,15,13,9,22,14,3,12,33,57,73,17,1,6,24,56,272,120,5,2,45,48,69,130,80,42,13,29,77,33,60,70,2,42,83,18,13,39,23,9,15,7,5
571,1784,9,1,9,12,11,1,0,7,16,8,30,7,1,3,54,66,82,12,3,11,36,53,280,131,6,3,45,40,58,123,72,35,19,22,57,33,67,81,0,48,84,20,14,43,29,22,13,1,6
572,1822,16,0,5,18,10,4,0,9,15,8,17,7,4,7,50,62,79,13,6,12,26,60,286,127,3,3,48,33,104,127,85,39,13,19,77,42,73,59,1,36,81,19,12,41,22,16,19,5,4
